raw_edges,merged_blocks,route_label,coverage_pct,bucket
29,27,Unknown,59.3,50-60%
38,38,Unknown,81.6,80-90%
10,10,Unknown,90.0,90-100%
96,73,Unknown,50.7,50-60%
15,15,Unknown,53.3,50-60%
59,49,Unknown,36.7,30-40%
39,37,Unknown,70.3,70-80%
32,30,Unknown,50.0,50-60%
71,57,Unknown,47.4,40-50%
32,23,Unknown,30.4,30-40%
66,56,Unknown,51.8,50-60%
23,23,Unknown,0.0,0-10%
14,14,Unknown,92.9,90-100%
45,41,Unknown,73.2,70-80%
88,75,Unknown,0.0,0-10%
28,26,Unknown,96.2,90-100%
60,60,Unknown,46.7,40-50%
40,33,Unknown,72.7,70-80%
104,97,Unknown,32.0,30-40%
49,41,Unknown,0.0,0-10%
10,9,Unknown,44.4,40-50%
45,35,Unknown,20.0,20-30%
74,74,Unknown,31.1,30-40%
32,32,Unknown,62.5,60-70%
104,78,Unknown,20.5,20-30%
20,19,Unknown,52.6,50-60%
65,50,Unknown,0.0,0-10%
11,11,Unknown,63.6,60-70%
59,55,Unknown,72.7,70-80%
84,83,Unknown,18.1,10-20%
18,14,Unknown,57.1,50-60%
85,82,Unknown,51.2,50-60%
76,66,Unknown,22.7,20-30%
39,38,Unknown,76.3,70-80%
51,51,Unknown,31.4,30-40%
37,34,Unknown,64.7,60-70%
100,90,Unknown,56.7,50-60%
44,44,Unknown,34.1,30-40%
22,21,Unknown,14.3,10-20%
82,70,Unknown,18.6,10-20%
21,21,Unknown,90.5,90-100%
17,16,Unknown,50.0,50-60%
114,92,Unknown,28.3,20-30%
43,42,Unknown,76.2,70-80%
24,24,Unknown,25.0,20-30%
61,54,Unknown,29.6,20-30%
18,12,Unknown,0.0,0-10%
9,9,Unknown,77.8,70-80%
64,51,Unknown,49.0,40-50%
45,35,Unknown,11.4,10-20%
