sensor_id,n_observations,first_obs,last_obs,max_gap_hours,gaps_over_4h
1,11133,2024-08-13 00:00:00,2026-08-05 03:00:00,5739.0,5
131,15493,2024-08-13 00:00:00,2026-08-05 03:00:00,1034.0,10
42,15710,2024-08-13 00:00:00,2026-08-05 02:00:00,796.0,40
19,16768,2024-08-13 00:00:00,2026-08-05 03:00:00,550.0,1
141,16538,2024-08-13 00:00:00,2026-08-05 03:00:00,428.0,43
77,16172,2024-09-03 13:00:00,2026-08-05 03:00:00,416.0,1
14,14811,2024-08-13 00:00:00,2026-08-01 18:00:00,402.0,154
53,16585,2024-08-13 00:00:00,2026-08-05 02:00:00,388.0,2
43,15340,2024-08-13 00:00:00,2026-08-05 01:00:00,356.0,53
136,12614,2024-08-13 06:00:00,2026-08-04 19:00:00,332.0,562
75,14133,2024-08-13 00:00:00,2026-08-05 02:00:00,328.0,278
39,14060,2024-08-13 00:00:00,2026-08-05 02:00:00,215.0,423
143,16889,2024-08-13 00:00:00,2026-08-05 03:00:00,161.0,11
185,9092,2025-07-05 11:00:00,2026-08-05 03:00:00,153.0,6
142,14139,2024-08-13 00:00:00,2026-08-05 02:00:00,136.0,357
45,16722,2024-08-13 00:00:00,2026-08-05 03:00:00,119.0,53
48,11309,2024-08-13 00:00:00,2026-08-05 03:00:00,111.0,596
4,17142,2024-08-13 00:00:00,2026-08-05 03:00:00,105.0,2
56,16582,2024-08-13 00:00:00,2026-08-05 02:00:00,99.0,50
41,17052,2024-08-13 00:00:00,2026-08-04 21:00:00,97.0,9
140,9468,2024-08-13 06:00:00,2026-08-04 17:00:00,95.0,722
46,11718,2024-08-29 11:00:00,2026-08-04 21:00:00,94.0,679
18,14774,2024-08-13 06:00:00,2026-08-05 00:00:00,92.0,227
133,17161,2024-08-13 00:00:00,2026-08-05 03:00:00,89.0,4
54,16731,2024-08-13 00:00:00,2026-08-05 03:00:00,84.0,20
24,17075,2024-08-13 00:00:00,2026-08-05 03:00:00,83.0,11
66,17196,2024-08-13 00:00:00,2026-08-05 03:00:00,78.0,2
29,16889,2024-08-13 00:00:00,2026-08-04 10:00:00,73.0,21
40,16923,2024-08-13 00:00:00,2026-08-05 03:00:00,72.0,5
79,17154,2024-08-13 00:00:00,2026-08-05 03:00:00,69.0,9
118,13518,2024-08-13 00:00:00,2026-08-04 23:00:00,55.0,652
137,12660,2024-08-13 06:00:00,2026-08-04 23:00:00,53.0,672
117,16970,2024-08-13 00:00:00,2026-08-05 01:00:00,49.0,5
124,4974,2024-12-28 07:00:00,2026-08-04 07:00:00,46.0,609
25,16804,2024-08-13 00:00:00,2026-08-05 03:00:00,24.0,24
2,17251,2024-08-13 00:00:00,2026-08-05 03:00:00,24.0,3
181,11677,2025-04-02 09:00:00,2026-08-05 03:00:00,24.0,3
84,17251,2024-08-13 00:00:00,2026-08-05 03:00:00,24.0,3
