Sensor ID,Name,Latitude,Longitude
1,Bourke Street Mall (North),-37.813494,144.965153
2,Bourke Street Mall (South),-37.813807,144.965167
3,Melbourne Central,-37.811015,144.964295
4,Town Hall (West),-37.81488,144.966088
5,Princes Bridge,-37.818742,144.967877
6,Flinders Underpass - Myki Barriers,-37.819074,144.965579
8,Webb Bridge,-37.822935,144.947175
9,Southern Cross Station,-37.81983,144.951026
10,Victoria Point,-37.818765,144.947105
11,Docklands Waterfront City Building Side,-37.815667,144.939744
12,New Quay,-37.81458,144.942924
14,Sandridge Bridge,-37.820112,144.962919
17,Collins Place (South),-37.813625,144.973236
18,Collins Place (North),-37.813449,144.973054
19,Chinatown-Swanston St (North),-37.812372,144.965507
20,Chinatown-Lt Bourke St (South),-37.811729,144.968247
21,155-161 Russell Street,-37.812673,144.967883
23,Spencer St-Collins St (South),-37.819093,144.954527
24,Spencer St-Collins St (North),-37.81888,144.954492
25,Melbourne Convention Exhibition Centre,-37.824018,144.956044
27,QV Market-Peel St,-37.806069,144.956447
29,St Kilda Rd-Alexandra Gardens,-37.819982,144.968729
30,Lonsdale St (South),-37.811219,144.966568
31,Lygon St (West),-37.801697,144.966589
35,Southbank Promenade,-37.820187,144.965085
36,Queen St (West),-37.816525,144.961211
37,Lygon St (East),-37.801071,144.967046
39,Alfred Place,-37.813797,144.969957
40,Lonsdale St-Spring St (West),-37.809993,144.972276
41,Flinders La-Swanston St (West),-37.816686,144.966897
42,Grattan St-Swanston St (West),-37.800086,144.963864
43,Monash Rd-Swanston St (West),-37.798445,144.964118
44,Tin Alley-Swanston St (West),-37.796987,144.964413
45,Little Collins St-Swanston St (East),-37.814141,144.966094
46,Pelham St (South),-37.802407,144.961567
47,Melbourne Central-Elizabeth St (East),-37.812585,144.962578
48,QVM-Queen St (East),-37.806316,144.958667
49,QVM-Therry St (South),-37.807301,144.959561
50,Faraday St-Lygon St (West),-37.798082,144.96721
51,QVM-Franklin St (North),-37.808418,144.959063
52,Elizabeth St-Lonsdale St (South),-37.812522,144.96194
53,Collins Street (North),-37.815642,144.965499
54,Lincoln-Swanston (West),-37.804024,144.963084
56,Lonsdale St - Elizabeth St (North),-37.812348,144.961533
58,Bourke St - Spencer St (North),-37.816861,144.953581
59,Building 80 RMIT,-37.808256,144.963049
61,RMIT Building 14,-37.807675,144.963091
62,La Trobe St (North),-37.809965,144.962165
63,231 Bourke St,-37.813331,144.966756
66,"QV2 Apartments, 300 Swanston Street",-37.810578,144.964443
67,Flinders Ln -Degraves St (South),-37.816888,144.965626
68,Flinders Ln -Degraves St (North),-37.816848,144.965598
69,Flinders Ln -Degraves St (Crossing),-37.816872,144.965591
70,Errol Street (East),-37.80457,144.949462
71,Westwood Place,-37.812358,144.97137
72,Flinders St- ACMI,-37.817263,144.968728
75,Spring St- Flinders st (West),-37.815153,144.974677
76,Macaulay Rd- Bellair St,-37.794538,144.930362
77,Harbour Esplanade (West) - Pedestrian path,-37.814414,144.94433
79,Flinders St (South),-37.81794,144.966167
84,Elizabeth St - Flinders St (East) - New footpath,-37.81798,144.965034
85,Macaulay Rd (North),-37.794324,144.929734
86,Queensberry St - Errol St (South),-37.8031,144.949081
87,Errol St (West),-37.804549,144.949219
107,Royal Mint 280 William St,-37.812463,144.956902
,,,
